XP_035657343.1	PE_Scaf1142_1.4	PY_T04693
XP_035666050.1	PE_Scaf9099_12.8	PY_T10471
XP_035666051.1	PE_Scaf9111_0.6	PY_T09540
XP_035666054.1	PE_Scaf5717_3.14	PY_T08444
XP_035666064.1	PE_Scaf6714_0.3	PY_T02150
XP_035666065.1	PE_Scaf8006_0.3	PY_T14664
XP_035666066.1	PE_Scaf9829_2.7	PY_T14186
XP_035666081.1	PE_Scaf6178_2.9	PY_T01145
XP_035666136.1	PE_Scaf4671_3.5	PY_T08715
XP_035666139.1	PE_Scaf10824_2.2	PY_T10713
XP_035666163.1	PE_Scaf444_20.5	PY_T14752
XP_035666174.1	PE_Scaf3097_3.8	PY_T15120
XP_035666175.1	PE_Scaf992_1.5	PY_T16183
XP_035666178.1	PE_Scaf6647_4.6	PY_T08926
XP_035666186.1	PE_Scaf3092_7.18	PY_T08925
XP_035666195.1	PE_Scaf4194_14.6	PY_T08026
XP_035666198.1	PE_Scaf5712_7.4	PY_T14986
XP_035666199.1	PE_Scaf9835_0.7	PY_T26228
XP_035666202.1	PE_Scaf12577_10.5	PY_T15473
XP_035666204.1	PE_Scaf3416_5.16	PY_T15395
XP_035666214.1	PE_Scaf11669_1.11	PY_T15562
XP_035666215.1	PE_Scaf12529_0.12	PY_T15620
XP_035666217.1	PE_Scaf11135_10.4	PY_T18867
XP_035666228.1	PE_Scaf12296_3.3	PY_T15234
XP_035666229.1	PE_Scaf12331_0.5	PY_T15490
XP_035666230.1	PE_Scaf8541_8.10	PY_T14753
XP_035666231.1	PE_Scaf12331_0.13	PY_T15489
XP_035666232.1	PE_Scaf4659_1.5	PY_T09888
XP_035666250.1	PE_Scaf9432_0.5	PY_T14780
XP_035666251.1	PE_Scaf9432_0.6	PY_T14779
XP_035666273.1	PE_Scaf12427_30.26	PY_T15546
XP_035666275.1	PE_Scaf3635_1.0	PY_T14968
XP_035666323.1	PE_Scaf110_20.4	PY_T08079
XP_035666327.1	PE_Scaf9976_5.10	PY_T09184
XP_035666347.1	PE_Scaf870_15.3	PY_T15140
XP_035666352.1	PE_Scaf1994_3.7	PY_T02320
XP_035666361.1	PE_Scaf6724_1.4	PY_T08886
XP_035666362.1	PE_Scaf6724_2.1	PY_T08885
XP_035666363.1	PE_Scaf8593_2.11	PY_T24482
XP_035666365.1	PE_Scaf8248_5.3	PY_T09232
XP_035666367.1	PE_Scaf11020_4.9	PY_T15111
XP_035666369.1	PE_Scaf8416_18.7	PY_T21155
XP_035666372.1	PE_Scaf5913_4.2	PY_T08688
XP_035666386.1	PE_Scaf2142_1.11	PY_T21864
XP_035666390.1	PE_Scaf8980_5.4	PY_T22490
XP_035666391.1	PE_Scaf10910_1.6	PY_T21658
XP_035666401.1	PE_Scaf9460_1.7	PY_T14896
XP_035666408.1	PE_Scaf3983_0.5	PY_T20120
XP_035666422.1	PE_Scaf3853_7.7	PY_T09727
XP_035666424.1	PE_Scaf5245_1.12	PY_T07977
XP_035666440.1	PE_Scaf944_11.17	PY_T24070
XP_035666442.1	PE_Scaf944_11.6	PY_T24069
XP_035666443.1	PE_Scaf3111_5.8	PY_T09347
XP_035666452.1	PE_Scaf4139_2.10	PY_T08429
XP_035666456.1	PE_Scaf8416_5.1	PY_T10601
XP_035666459.1	PE_Scaf3982_2.6	PY_T13613
XP_035666471.1	PE_Scaf1750_4.4	PY_T17955
XP_035666505.1	PE_Scaf7350_2.9	PY_T14193
XP_035666506.1	PE_Scaf6358_2.3	PY_T13051
XP_035666530.1	PE_Scaf222_7.2	PY_T14749
XP_035666532.1	PE_Scaf8970_1.8	PY_T10009
XP_035666536.1	PE_Scaf444_8.5	PY_T00990
XP_035666537.1	PE_Scaf3416_2.3	PY_T14894
XP_035666538.1	PE_Scaf3477_4.5	PY_T08220
XP_035666542.1	PE_Scaf2926_1.5	PY_T08572
XP_035666546.1	PE_Scaf11020_0.5	PY_T14839
XP_035666550.1	PE_Scaf7063_1.5	PY_T10140
XP_035666558.1	PE_Scaf12523_0.5	PY_T22334
XP_035666560.1	PE_Scaf7844_1.3	PY_T14686
XP_035666561.1	PE_Scaf686_7.4	PY_T17540
XP_035666566.1	PE_Scaf8541_8.3	PY_T15624
XP_035666583.1	PE_Scaf5233_3.5	PY_T10622
XP_035666586.1	PE_Scaf12423_13.5	PY_T09006
XP_035666606.1	PE_Scaf3950_3.1	PY_T10448
XP_035666622.1	PE_Scaf10237_15.4	PY_T11588
XP_035666623.1	PE_Scaf11470_0.5	PY_T14675
XP_035666632.1	PE_Scaf37_5.15	PY_T04146
XP_035666640.1	PE_Scaf6782_19.10	PY_T21812
XP_035666643.1	PE_Scaf10982_1.16	PY_T23952
XP_035666653.1	PE_Scaf12212_1.20	PY_T14979
XP_035666662.1	PE_Scaf8778_0.3	PY_T01798
XP_035666668.1	PE_Scaf11184_0.13	PY_T10371
XP_035666672.1	PE_Scaf8714_2.6	PY_T14699
XP_035666673.1	PE_Scaf3896_2.5	PY_T10260
XP_035666676.1	PE_Scaf4490_0.4	PY_T15631
XP_035666677.1	PE_Scaf4262_1.4	PY_T14917
XP_035666678.1	PE_Scaf12088_5.9	PY_T09892
XP_035666687.1	PE_Scaf11661_19.3	PY_T08855
XP_035666698.1	PE_Scaf7396_3.5	PY_T15236
XP_035666714.1	PE_Scaf7600_2.3	PY_T00984
XP_035666716.1	PE_Scaf4074_0.3	PY_T15363
XP_035666717.1	PE_Scaf10317_7.2	PY_T09311
XP_035666718.1	PE_Scaf9976_5.12	PY_T09183
XP_035666729.1	PE_Scaf5126_1.8	PY_T17506
XP_035666731.1	PE_Scaf3460_10.2	PY_T10419
XP_035666744.1	PE_Scaf2308_6.5	PY_T22270
XP_035666746.1	PE_Scaf444_25.6	PY_T14712
XP_035666777.1	PE_Scaf10307_1.3	PY_T15016
XP_035666778.1	PE_Scaf9497_1.6	PY_T15569
XP_035666821.1	PE_Scaf2926_4.7	PY_T09120
XP_035666834.1	PE_Scaf12296_1.6	PY_T15136
XP_035666876.1	PE_Scaf4468_9.4	PY_T15071
XP_035666879.1	PE_Scaf4304_3.5	PY_T15135
XP_035666880.1	PE_Scaf12187_1.5	PY_T07352
XP_035666882.1	PE_Scaf7478_7.5	PY_T18108
XP_035666887.1	PE_Scaf4468_6.7	PY_T15070
XP_035666896.1	PE_Scaf12202_2.5	PY_T14715
XP_035666915.1	PE_Scaf5230_2.16	PY_T09780
XP_035666928.1	PE_Scaf3543_0.2	PY_T01876
XP_035666930.1	PE_Scaf6772_3.5	PY_T15167
XP_035666931.1	PE_Scaf11226_7.16	PY_T09030
XP_035666948.1	PE_Scaf11450_2.16	PY_T10303
XP_035666949.1	PE_Scaf12212_1.13	PY_T15663
XP_035666954.1	PE_Scaf3078_2.4	PY_T14732
XP_035666976.1	PE_Scaf8714_5.5	PY_T14967
XP_035667023.1	PE_Scaf7547_1.3	PY_T09256
XP_035667027.1	PE_Scaf2365_0.2	PY_T14722
XP_035667028.1	PE_Scaf11359_3.4	PY_T10630
XP_035667052.1	PE_Scaf7619_5.3	PY_T15253
XP_035667067.1	PE_Scaf6246_1.15	PY_T10157
XP_035667069.1	PE_Scaf5984_0.15	PY_T14814
XP_035667073.1	PE_Scaf1892_1.7	PY_T18245
XP_035667089.1	PE_Scaf3078_29.5	PY_T00989
XP_035667108.1	PE_Scaf3950_4.14	PY_T10445
XP_035667115.1	PE_Scaf1774_1.6	PY_T05354
XP_035667122.1	PE_Scaf1169_7.9	PY_T22022
XP_035667155.1	PE_Scaf12427_29.4	PY_T15131
XP_035667163.1	PE_Scaf2505_1.8	PY_T03571
XP_035667168.1	PE_Scaf11020_1.5	PY_T14915
XP_035667181.1	PE_Scaf2296_0.6	PY_T15324
XP_035667192.1	PE_Scaf248_20.5	PY_T17226
XP_035667193.1	PE_Scaf4304_5.6	PY_T14871
XP_035667197.1	PE_Scaf4335_9.10	PY_T15584
XP_035667211.1	PE_Scaf4304_5.7	PY_T14788
XP_035667218.1	PE_Scaf11700_7.5	PY_T14918
XP_035667237.1	PE_Scaf7929_12.7	PY_T15101
XP_035667238.1	PE_Scaf11603_11.12	PY_T15258
XP_035667246.1	PE_Scaf5370_2.10	PY_T10063
XP_035667257.1	PE_Scaf5126_1.6	PY_T17505
XP_035667261.1	PE_Scaf3149_0.3	PY_T15259
XP_035667264.1	PE_Scaf6206_2.2	PY_T14886
XP_035667272.1	PE_Scaf4335_9.23	PY_T15274
XP_035667273.1	PE_Scaf8006_1.14	PY_T15447
XP_035667290.1	PE_Scaf6809_3.13	PY_T21873
XP_035667291.1	PE_Scaf12253_5.5	PY_T08086
XP_035667304.1	PE_Scaf5680_2.22	PY_T08254
XP_035667306.1	PE_Scaf9461_7.5	PY_T06998
XP_035667308.1	PE_Scaf9740_3.7	PY_T14931
XP_035667336.1	PE_Scaf3331_16.6	PY_T14266
XP_035667366.1	PE_Scaf3701_1.17	PY_T08574
XP_035667381.1	PE_Scaf9098_2.4	PY_T15339
XP_035667388.1	PE_Scaf11447_1.3	PY_T19891
XP_035667398.1	PE_Scaf2365_1.5	PY_T00926
XP_035667402.1	PE_Scaf7548_5.15	PY_T15524
XP_035667413.1	PE_Scaf12500_22.7	PY_T09375
XP_035667416.1	PE_Scaf12427_28.2	PY_T02162
XP_035667422.1	PE_Scaf12427_27.3	PY_T14965
XP_035667429.1	PE_Scaf4194_9.6	PY_T09046
XP_035667430.1	PE_Scaf1129_1.7	PY_T09045
XP_035667449.1	PE_Scaf530_2.4	PY_T14919
XP_035667451.1	PE_Scaf3413_12.7	PY_T08294
XP_035667454.1	PE_Scaf1835_6.2	PY_T15550
XP_035667458.1	PE_Scaf2574_3.11	PY_T02154
XP_035667477.1	PE_Scaf10535_1.11	PY_T00375
XP_035667480.1	PE_Scaf12509_5.1	PY_T10742
XP_035667502.1	PE_Scaf4459_1.7	PY_T09861
XP_035667513.1	PE_Scaf1540_10.8	PY_T08347
XP_035667517.1	PE_Scaf6178_1.3	PY_T08972
XP_035667520.1	PE_Scaf6520_14.12	PY_T08948
XP_035667521.1	PE_Scaf6520_13.15	PY_T08947
XP_035667522.1	PE_Scaf4051_4.0	PY_T08625
XP_035667533.1	PE_Scaf8668_15.15	PY_T09016
XP_035667537.1	PE_Scaf6503_1.7	PY_T08189
XP_035667547.1	PE_Scaf4051_3.6	PY_T09201
XP_035667548.1	PE_Scaf6520_14.4	PY_T08949
XP_035667552.1	PE_Scaf4051_4.8	PY_T09054
XP_035667553.1	PE_Scaf5582_0.6	PY_T09075
XP_035667562.1	PE_Scaf4051_4.15	PY_T08120
XP_035667566.1	PE_Scaf12511_1.8	PY_T08122
XP_035667582.1	PE_Scaf1838_0.15	PY_T10665
XP_035667585.1	PE_Scaf4335_16.2	PY_T15616
XP_035667586.1	PE_Scaf2196_6.8	PY_T16859
XP_035667587.1	PE_Scaf8714_1.4	PY_T15228
XP_035667588.1	PE_Scaf9785_3.16	PY_T04861
XP_035667605.1	PE_Scaf1731_0.3	PY_T21593
XP_035667616.1	PE_Scaf2688_3.19	PY_T03075
XP_035667638.1	PE_Scaf10318_0.11	PY_T14648
XP_035667642.1	PE_Scaf7030_3.9	PY_T15537
XP_035667659.1	PE_Scaf11700_1.1	PY_T14755
XP_035667669.1	PE_Scaf10410_1.5	PY_T08552
XP_035667676.1	PE_Scaf3149_6.7	PY_T14746
XP_035667677.1	PE_Scaf6995_3.3	PY_T14684
XP_035667679.1	PE_Scaf5717_3.12	PY_T08040
XP_035667698.1	PE_Scaf37_3.9	PY_T00032
XP_035667704.1	PE_Scaf4194_13.16	PY_T08121
XP_035667705.1	PE_Scaf8175_0.6	PY_T09109
XP_035667725.1	PE_Scaf3460_13.4	PY_T09847
XP_035667740.1	PE_Scaf9746_1.5	PY_T16079
XP_035667743.1	PE_Scaf11447_2.8	PY_T01776
XP_035667745.1	PE_Scaf5334_0.2	PY_T09108
XP_035667753.1	PE_Scaf7145_1.7	PY_T08022
XP_035667769.1	PE_Scaf7117_0.6	PY_T14741
XP_035667775.1	PE_Scaf6862_0.3	PY_T10751
XP_035667845.1	PE_Scaf3607_0.4	PY_T15597
XP_035667918.1	PE_Scaf4170_0.2	PY_T22664
XP_035667924.1	PE_Scaf4197_0.10	PY_T10199
XP_035667932.1	PE_Scaf2345_1.3	PY_T00456
XP_035667936.1	PE_Scaf4197_1.16	PY_T10198
XP_035667937.1	PE_Scaf12427_23.6	PY_T15283
XP_035667938.1	PE_Scaf5775_1.6	PY_T14904
XP_035667947.1	PE_Scaf341_2.7	PY_T14990
XP_035667951.1	PE_Scaf3078_22.3	PY_T15190
XP_035667959.1	PE_Scaf145_14.13	PY_T15188
XP_035667988.1	PE_Scaf11354_0.4	PY_T15488
XP_035667997.1	PE_Scaf9976_4.3	PY_T09238
XP_035667998.1	PE_Scaf110_25.6	PY_T08343
XP_035667999.1	PE_Scaf3191_3.8	PY_T04940
XP_035668023.1	PE_Scaf1129_3.2	PY_T08262
XP_035668024.1	PE_Scaf722_5.6	PY_T15346
XP_035668031.1	PE_Scaf3096_1.7	PY_T01142
XP_035668036.1	PE_Scaf8668_3.1	PY_T08990
XP_035668037.1	PE_Scaf8668_2.7	PY_T08989
XP_035668072.1	PE_Scaf8469_13.13	PY_T17973
XP_035668073.1	PE_Scaf222_4.3	PY_T15164
XP_035668074.1	PE_Scaf4335_17.4	PY_T15252
XP_035668075.1	PE_Scaf3097_2.5	PY_T15360
XP_035668079.1	PE_Scaf2477_0.15	PY_T10659
XP_035668081.1	PE_Scaf12660_4.1	PY_T08359
XP_035668084.1	PE_Scaf11327_5.2	PY_T09255
XP_035668093.1	PE_Scaf12251_2.9	PY_T15450
XP_035668101.1	PE_Scaf10420_7.10	PY_T01777
XP_035668110.1	PE_Scaf6997_12.4	PY_T02280
XP_035668132.1	PE_Scaf350_6.6	PY_T09200
XP_035668133.1	PE_Scaf4802_1.5	PY_T08639
XP_035668134.1	PE_Scaf4802_1.4	PY_T08637
XP_035668136.1	PE_Scaf8248_12.4	PY_T08032
XP_035668200.1	PE_Scaf2192_1.7	PY_T05620
XP_035668203.1	PE_Scaf7553_0.2	PY_T14639
XP_035668217.1	PE_Scaf9331_1.6	PY_T08816
XP_035668218.1	PE_Scaf6585_0.5	PY_T08156
XP_035668232.1	PE_Scaf8630_9.8	PY_T26105
XP_035668241.1	PE_Scaf7619_3.4	PY_T15035
XP_035668242.1	PE_Scaf11672_1.3	PY_T15579
XP_035668252.1	PE_Scaf2147_1.4	PY_T08953
XP_035668253.1	PE_Scaf6310_1.19	PY_T03032
XP_035668256.1	PE_Scaf5317_1.9	PY_T18569
XP_035668286.1	PE_Scaf11148_7.11	PY_T08992
XP_035668297.1	PE_Scaf4413_0.4	PY_T14638
XP_035668300.1	PE_Scaf1501_2.1	PY_T15196
XP_035668313.1	PE_Scaf7396_1.2	PY_T14946
XP_035668322.1	PE_Scaf326_1.7	PY_T15178
XP_035668346.1	PE_Scaf7692_0.4	PY_T14785
XP_035668348.1	PE_Scaf12123_4.7	PY_T23811
XP_035668354.1	PE_Scaf5370_0.5	PY_T13028
XP_035668394.1	PE_Scaf6245_17.9	PY_T05948
XP_035668395.1	PE_Scaf717_3.7	PY_T04033
XP_035668407.1	PE_Scaf9511_0.6	PY_T22346
XP_035668412.1	PE_Scaf12599_0.6	PY_T22345
XP_035668420.1	PE_Scaf1425_1.4	PY_T06465
XP_035668443.1	PE_Scaf9736_1.5	PY_T01644
XP_035668459.1	PE_Scaf9690_12.9	PY_T06402
XP_035668488.1	PE_Scaf2308_11.1	PY_T22513
XP_035668539.1	PE_Scaf1971_0.12	PY_T22605
XP_035668580.1	PE_Scaf6220_4.4	PY_T18515
XP_035668586.1	PE_Scaf2339_5.7	PY_T03114
XP_035668589.1	PE_Scaf11016_0.3	PY_T24410
XP_035668596.1	PE_Scaf4282_2.8	PY_T09952
XP_035668605.1	PE_Scaf9854_3.6	PY_T06135
XP_035668627.1	PE_Scaf5178_1.5	PY_T05736
XP_035668636.1	PE_Scaf10099_1.4	PY_T18000
XP_035668676.1	PE_Scaf3472_5.14	PY_T23069
XP_035668677.1	PE_Scaf6310_1.10	PY_T08088
XP_035668724.1	PE_Scaf9690_12.7	PY_T07707
XP_035668726.1	PE_Scaf12390_2.15	PY_T06263
XP_035668797.1	PE_Scaf5346_9.2	PY_T05848
XP_035668798.1	PE_Scaf5346_8.11	PY_T05849
XP_035668806.1	PE_Scaf1975_0.5	PY_T17495
XP_035668828.1	PE_Scaf2812_8.3	PY_T05838
XP_035668837.1	PE_Scaf2696_4.3	PY_T06420
XP_035668843.1	PE_Scaf3442_5.12	PY_T05788
XP_035668862.1	PE_Scaf11059_0.7	PY_T06546
XP_035668885.1	PE_Scaf9331_4.7	PY_T23252
XP_035668913.1	PE_Scaf842_4.4	PY_T17282
XP_035668928.1	PE_Scaf7430_2.6	PY_T23215
XP_035668929.1	PE_Scaf3228_12.4	PY_T12737
XP_035668941.1	PE_Scaf2440_5.3	PY_T05897
XP_035668957.1	PE_Scaf3439_2.9	PY_T22586
XP_035668964.1	PE_Scaf3472_5.8	PY_T22640
XP_035668982.1	PE_Scaf1951_1.3	PY_T21887
XP_035668988.1	PE_Scaf6320_1.3	PY_T06025
XP_035669073.1	PE_Scaf8738_0.4	PY_T13257
XP_035669084.1	PE_Scaf8446_6.7	PY_T15543
XP_035669090.1	PE_Scaf1102_11.9	PY_T05406
XP_035669100.1	PE_Scaf6913_9.10	PY_T00468
XP_035669110.1	PE_Scaf819_1.4	PY_T01539
XP_035669120.1	PE_Scaf3147_0.4	PY_T05637
XP_035669127.1	PE_Scaf12639_2.15	PY_T05367
XP_035669170.1	PE_Scaf2489_1.2	PY_T10160
XP_035669225.1	PE_Scaf9368_3.2	PY_T17777
XP_035669233.1	PE_Scaf6297_4.8	PY_T01642
XP_035669234.1	PE_Scaf6297_5.3	PY_T01643
XP_035669270.1	PE_Scaf3258_5.7	PY_T02248
XP_035669298.1	PE_Scaf8817_13.2	PY_T07949
XP_035669318.1	PE_Scaf110_8.2	PY_T22642
XP_035669326.1	PE_Scaf110_27.5	PY_T23145
XP_035669332.1	PE_Scaf10821_4.4	PY_T05501
XP_035669345.1	PE_Scaf1407_2.4	PY_T20538
XP_035669350.1	PE_Scaf7677_0.11	PY_T13082
XP_035669356.1	PE_Scaf4857_5.4	PY_T18236
XP_035669362.1	PE_Scaf5879_0.4	PY_T09512
XP_035669373.1	PE_Scaf5809_1.9	PY_T18745
XP_035669381.1	PE_Scaf5802_11.4	PY_T05238
XP_035669393.1	PE_Scaf10602_7.5	PY_T06051
XP_035669414.1	PE_Scaf8333_1.18	PY_T05609
XP_035669415.1	PE_Scaf3543_4.3	PY_T22163
XP_035669434.1	PE_Scaf2440_10.6	PY_T26152
XP_035669437.1	PE_Scaf735_12.15	PY_T09595
XP_035669446.1	PE_Scaf12208_4.2	PY_T05648
XP_035669451.1	PE_Scaf3258_5.8	PY_T07844
XP_035669485.1	PE_Scaf6157_2.9	PY_T06471
XP_035669492.1	PE_Scaf3471_5.18	PY_T06220
XP_035669503.1	PE_Scaf12280_4.12	PY_T00878
XP_035669534.1	PE_Scaf8817_9.2	PY_T06169
XP_035669559.1	PE_Scaf2919_4.3	PY_T05387
XP_035669584.1	PE_Scaf12047_9.11	PY_T05429
XP_035669588.1	PE_Scaf7942_1.11	PY_T00060
XP_035669614.1	PE_Scaf1603_0.1	PY_T18317
XP_035669619.1	PE_Scaf5790_6.6	PY_T22176
XP_035669648.1	PE_Scaf5953_3.2	PY_T10525
XP_035669662.1	PE_Scaf6000_0.2	PY_T05164
XP_035669664.1	PE_Scaf12267_4.5	PY_T18794
XP_035669667.1	PE_Scaf5953_4.2	PY_T10086
XP_035669693.1	PE_Scaf8250_1.5	PY_T09367
XP_035669697.1	PE_Scaf364_1.5	PY_T00666
XP_035669699.1	PE_Scaf12435_3.2	PY_T01387
XP_035669703.1	PE_Scaf4802_6.2	PY_T23079
XP_035669707.1	PE_Scaf6245_17.10	PY_T05793
XP_035669711.1	PE_Scaf4671_5.10	PY_T22748
XP_035669713.1	PE_Scaf4783_1.3	PY_T22836
XP_035669715.1	PE_Scaf9566_5.1	PY_T06046
XP_035669717.1	PE_Scaf10974_2.12	PY_T10391
XP_035669747.1	PE_Scaf8449_0.7	PY_T13623
XP_035669795.1	PE_Scaf6973_4.8	PY_T22897
XP_035669796.1	PE_Scaf12651_0.4	PY_T05727
XP_035669798.1	PE_Scaf1882_3.7	PY_T13018
XP_035669801.1	PE_Scaf1119_20.3	PY_T16441
XP_035669805.1	PE_Scaf12039_19.8	PY_T04663
XP_035669975.1	PE_Scaf5972_1.3	PY_T00464
XP_035669994.1	PE_Scaf12390_2.12	PY_T00088
XP_035669995.1	PE_Scaf11793_1.15	PY_T10261
XP_035670027.1	PE_Scaf6597_0.2	PY_T09475
XP_035670031.1	PE_Scaf11208_7.4	PY_T05685
XP_035670036.1	PE_Scaf1119_5.7	PY_T20250
XP_035670037.1	PE_Scaf6597_1.2	PY_T09476
XP_035670056.1	PE_Scaf3627_3.3	PY_T22753
XP_035670078.1	PE_Scaf3472_8.9	PY_T22871
XP_035670094.1	PE_Scaf3472_8.7	PY_T01965
XP_035670096.1	PE_Scaf3228_0.6	PY_T00677
XP_035670105.1	PE_Scaf2696_12.1	PY_T05490
XP_035670130.1	PE_Scaf2011_3.6	PY_T05594
XP_035670132.1	PE_Scaf4828_0.2	PY_T16912
XP_035670137.1	PE_Scaf11930_6.4	PY_T01386
XP_035670200.1	PE_Scaf2440_7.7	PY_T00327
XP_035670208.1	PE_Scaf2832_1.3	PY_T17085
XP_035670217.1	PE_Scaf4257_4.6	PY_T06554
XP_035670220.1	PE_Scaf918_0.4	PY_T08628
XP_035670257.1	PE_Scaf6000_4.2	PY_T06328
XP_035670269.1	PE_Scaf6000_5.6	PY_T06348
XP_035670279.1	PE_Scaf9759_4.9	PY_T05427
XP_035670286.1	PE_Scaf284_16.11	PY_T03235
XP_035670296.1	PE_Scaf6245_17.18	PY_T05653
XP_035670306.1	PE_Scaf9097_1.3	PY_T03914
XP_035670311.1	PE_Scaf3627_2.4	PY_T22755
XP_035670323.1	PE_Scaf9537_2.5	PY_T22859
XP_035670350.1	PE_Scaf1076_4.4	PY_T23094
XP_035670353.1	PE_Scaf8248_7.3	PY_T22900
XP_035670357.1	PE_Scaf9537_3.2	PY_T22860
XP_035670359.1	PE_Scaf3439_1.3	PY_T00169
XP_035670373.1	PE_Scaf735_5.3	PY_T09930
XP_035670383.1	PE_Scaf12423_4.6	PY_T22614
XP_035670410.1	PE_Scaf1619_2.3	PY_T22618
XP_035670413.1	PE_Scaf8248_9.7	PY_T18827
XP_035670419.1	PE_Scaf4510_17.22	PY_T05223
XP_035670438.1	PE_Scaf2206_1.3	PY_T23002
XP_035670440.1	PE_Scaf11153_0.3	PY_T09910
XP_035670446.1	PE_Scaf6973_4.7	PY_T22675
XP_035670448.1	PE_Scaf7677_0.5	PY_T23162
XP_035670485.1	PE_Scaf5910_5.19	PY_T20789
XP_035670522.1	PE_Scaf12047_6.7	PY_T06222
XP_035670524.1	PE_Scaf8817_14.5	PY_T02874
XP_035670527.1	PE_Scaf10839_5.1	PY_T06466
XP_035670559.1	PE_Scaf10839_1.8	PY_T06295
XP_035670583.1	PE_Scaf4637_5.9	PY_T06582
XP_035670585.1	PE_Scaf1206_4.5	PY_T22556
XP_035670589.1	PE_Scaf1121_4.2	PY_T05166
XP_035670596.1	PE_Scaf2852_8.3	PY_T05852
XP_035670600.1	PE_Scaf1481_2.5	PY_T05794
XP_035670621.1	PE_Scaf3512_9.6	PY_T06449
XP_035670631.1	PE_Scaf493_2.11	PY_T09926
XP_035670656.1	PE_Scaf6997_14.8	PY_T10296
XP_035670683.1	PE_Scaf6320_1.2	PY_T06024
XP_035670699.1	PE_Scaf444_7.4	PY_T18018
XP_035670746.1	PE_Scaf1102_12.12	PY_T05096
XP_035670757.1	PE_Scaf1407_1.4	PY_T15960
XP_035670765.1	PE_Scaf11731_1.11	PY_T10207
XP_035670766.1	PE_Scaf2075_1.15	PY_T25963
XP_035670786.1	PE_Scaf7701_3.10	PY_T12401
XP_035670804.1	PE_Scaf3627_4.10	PY_T22899
XP_035670816.1	PE_Scaf81_4.12	PY_T01237
XP_035670834.1	PE_Scaf5574_1.5	PY_T12640
XP_035670860.1	PE_Scaf6924_3.5	PY_T23235
XP_035670869.1	PE_Scaf4802_6.1	PY_T23080
XP_035670870.1	PE_Scaf11797_3.4	PY_T15879
XP_035670892.1	PE_Scaf3472_2.2	PY_T22682
XP_035670893.1	PE_Scaf1622_0.2	PY_T15749
XP_035670913.1	PE_Scaf4508_2.7	PY_T23210
XP_035670924.1	PE_Scaf3472_3.5	PY_T22641
XP_035670930.1	PE_Scaf5907_5.8	PY_T04664
XP_035670954.1	PE_Scaf4671_12.10	PY_T22643
XP_035670957.1	PE_Scaf7812_1.5	PY_T23104
XP_035670991.1	PE_Scaf9792_6.7	PY_T23746
XP_035671006.1	PE_Scaf12253_7.3	PY_T22702
XP_035671007.1	PE_Scaf3803_0.11	PY_T08372
XP_035671015.1	PE_Scaf9331_4.8	PY_T02954
XP_035671021.1	PE_Scaf10317_6.4	PY_T22638
XP_035671065.1	PE_Scaf9149_0.8	PY_T10715
XP_035671069.1	PE_Scaf3462_1.28	PY_T25159
XP_035671070.1	PE_Scaf7279_1.5	PY_T05706
XP_035671090.1	PE_Scaf2308_14.4	PY_T04718
XP_035671091.1	PE_Scaf10326_6.12	PY_T05775
XP_035671092.1	PE_Scaf2696_9.5	PY_T06508
XP_035671126.1	PE_Scaf1923_0.3	PY_T06233
XP_035671148.1	PE_Scaf12326_12.21	PY_T00874
XP_035671155.1	PE_Scaf9129_0.5	PY_T23130
XP_035671160.1	PE_Scaf12577_1.3	PY_T05800
XP_035671164.1	PE_Scaf5317_5.6	PY_T18504
XP_035671165.1	PE_Scaf2625_0.8	PY_T22971
XP_035671198.1	PE_Scaf2147_0.2	PY_T01133
XP_035671199.1	PE_Scaf12536_1.20	PY_T23127
XP_035671206.1	PE_Scaf12536_1.14	PY_T21876
XP_035671211.1	PE_Scaf1407_0.2	PY_T00953
XP_035671215.1	PE_Scaf4671_1.4	PY_T22737
XP_035671242.1	PE_Scaf1994_4.15	PY_T22740
XP_035671273.1	PE_Scaf1253_1.3	PY_T05999
XP_035671276.1	PE_Scaf2812_6.4	PY_T01162
XP_035671277.1	PE_Scaf4383_0.10	PY_T24100
XP_035671279.1	PE_Scaf10790_4.11	PY_T06460
XP_035671291.1	PE_Scaf6973_4.27	PY_T16404
XP_035671304.1	PE_Scaf2852_7.14	PY_T06509
XP_035671305.1	PE_Scaf2852_7.15	PY_T05855
XP_035671306.1	PE_Scaf7206_1.6	PY_T05469
XP_035671312.1	PE_Scaf7942_1.12	PY_T05539
XP_035671356.1	PE_Scaf10320_4.12	PY_T10697
XP_035671376.1	PE_Scaf3228_0.4	PY_T03696
XP_035671378.1	PE_Scaf5802_8.15	PY_T05658
XP_035671409.1	PE_Scaf1964_2.9	PY_T01817
XP_035671419.1	PE_Scaf6759_2.3	PY_T05757
XP_035671424.1	PE_Scaf9046_6.2	PY_T05517
XP_035671447.1	PE_Scaf9104_6.1	PY_T06351
XP_035671456.1	PE_Scaf9759_4.8	PY_T06066
XP_035671457.1	PE_Scaf12280_1.11	PY_T06404
XP_035671519.1	PE_Scaf390_0.14	PY_T02161
XP_035671536.1	PE_Scaf3228_4.21	PY_T22771
XP_035671546.1	PE_Scaf1407_1.8	PY_T00954
XP_035671551.1	PE_Scaf7205_1.0	PY_T05065
XP_035671560.1	PE_Scaf1339_2.8	PY_T23274
XP_035671606.1	PE_Scaf11819_7.4	PY_T01833
