XP_035657343.1	PE_Scaf1142_1.4
XP_035667291.1	PE_Scaf12253_5.5
XP_035667304.1	PE_Scaf5680_2.22
XP_035667306.1	PE_Scaf9461_7.5
XP_035667308.1	PE_Scaf9740_3.7
XP_035667336.1	PE_Scaf3331_16.6
XP_035667366.1	PE_Scaf3701_1.17
XP_035667381.1	PE_Scaf9098_2.4
XP_035667388.1	PE_Scaf11447_1.3
XP_035667398.1	PE_Scaf2365_1.5
XP_035667402.1	PE_Scaf7548_5.15
XP_035667413.1	PE_Scaf12500_22.7
XP_035667416.1	PE_Scaf12427_28.2
XP_035667422.1	PE_Scaf12427_27.3
XP_035667429.1	PE_Scaf4194_9.6
XP_035667430.1	PE_Scaf1129_1.7
XP_035667449.1	PE_Scaf530_2.4
XP_035667451.1	PE_Scaf3413_12.7
XP_035667454.1	PE_Scaf1835_6.2
XP_035667458.1	PE_Scaf2574_3.11
XP_035667477.1	PE_Scaf10535_1.11
XP_035667480.1	PE_Scaf12509_5.1
XP_035667502.1	PE_Scaf4459_1.7
XP_035667513.1	PE_Scaf1540_10.8
XP_035667517.1	PE_Scaf6178_1.3
XP_035667520.1	PE_Scaf6520_14.12
XP_035667521.1	PE_Scaf6520_13.15
XP_035667522.1	PE_Scaf4051_4.0
XP_035667533.1	PE_Scaf8668_15.15
XP_035667537.1	PE_Scaf6503_1.7
XP_035667547.1	PE_Scaf4051_3.6
XP_035667548.1	PE_Scaf6520_14.4
XP_035667552.1	PE_Scaf4051_4.8
XP_035667553.1	PE_Scaf5582_0.6
XP_035667562.1	PE_Scaf4051_4.15
XP_035667566.1	PE_Scaf12511_1.8
XP_035667582.1	PE_Scaf1838_0.15
XP_035667585.1	PE_Scaf4335_16.2
XP_035667586.1	PE_Scaf2196_6.8
XP_035667587.1	PE_Scaf8714_1.4
XP_035667588.1	PE_Scaf9785_3.16
XP_035667605.1	PE_Scaf1731_0.3
XP_035667616.1	PE_Scaf2688_3.19
XP_035667638.1	PE_Scaf10318_0.11
XP_035667642.1	PE_Scaf7030_3.9
XP_035667659.1	PE_Scaf11700_1.1
XP_035667669.1	PE_Scaf10410_1.5
XP_035667676.1	PE_Scaf3149_6.7
XP_035667677.1	PE_Scaf6995_3.3
XP_035667679.1	PE_Scaf5717_3.12
XP_035667698.1	PE_Scaf37_3.9
XP_035667704.1	PE_Scaf4194_13.16
XP_035667705.1	PE_Scaf8175_0.6
XP_035667725.1	PE_Scaf3460_13.4
XP_035667740.1	PE_Scaf9746_1.5
XP_035667743.1	PE_Scaf11447_2.8
XP_035667745.1	PE_Scaf5334_0.2
XP_035667753.1	PE_Scaf7145_1.7
XP_035667769.1	PE_Scaf7117_0.6
XP_035667775.1	PE_Scaf6862_0.3
XP_035667845.1	PE_Scaf3607_0.4
XP_035667918.1	PE_Scaf4170_0.2
XP_035667924.1	PE_Scaf4197_0.10
XP_035667932.1	PE_Scaf2345_1.3
XP_035667936.1	PE_Scaf4197_1.16
XP_035667937.1	PE_Scaf12427_23.6
XP_035667938.1	PE_Scaf5775_1.6
XP_035667947.1	PE_Scaf341_2.7
XP_035667951.1	PE_Scaf3078_22.3
XP_035667959.1	PE_Scaf145_14.13
XP_035667988.1	PE_Scaf11354_0.4
XP_035667997.1	PE_Scaf9976_4.3
XP_035667998.1	PE_Scaf110_25.6
XP_035667999.1	PE_Scaf3191_3.8
XP_035668023.1	PE_Scaf1129_3.2
XP_035668024.1	PE_Scaf722_5.6
XP_035668031.1	PE_Scaf3096_1.7
XP_035668036.1	PE_Scaf8668_3.1
XP_035668037.1	PE_Scaf8668_2.7
XP_035668072.1	PE_Scaf8469_13.13
XP_035668073.1	PE_Scaf222_4.3
XP_035668074.1	PE_Scaf4335_17.4
XP_035668075.1	PE_Scaf3097_2.5
XP_035668079.1	PE_Scaf2477_0.15
XP_035668081.1	PE_Scaf12660_4.1
XP_035668084.1	PE_Scaf11327_5.2
XP_035668093.1	PE_Scaf12251_2.9
XP_035668101.1	PE_Scaf10420_7.10
XP_035668110.1	PE_Scaf6997_12.4
XP_035668132.1	PE_Scaf350_6.6
XP_035668133.1	PE_Scaf4802_1.5
XP_035668134.1	PE_Scaf4802_1.4
XP_035668136.1	PE_Scaf8248_12.4
XP_035668200.1	PE_Scaf2192_1.7
XP_035668203.1	PE_Scaf7553_0.2
XP_035668217.1	PE_Scaf9331_1.6
XP_035668218.1	PE_Scaf6585_0.5
XP_035668232.1	PE_Scaf8630_9.8
XP_035668241.1	PE_Scaf7619_3.4
XP_035668242.1	PE_Scaf11672_1.3
XP_035668252.1	PE_Scaf2147_1.4
XP_035668253.1	PE_Scaf6310_1.19
XP_035668256.1	PE_Scaf5317_1.9
XP_035668286.1	PE_Scaf11148_7.11
XP_035668297.1	PE_Scaf4413_0.4
XP_035668300.1	PE_Scaf1501_2.1
XP_035668313.1	PE_Scaf7396_1.2
XP_035668322.1	PE_Scaf326_1.7
XP_035668346.1	PE_Scaf7692_0.4
XP_035668348.1	PE_Scaf12123_4.7
XP_035668354.1	PE_Scaf5370_0.5
XP_035668394.1	PE_Scaf6245_17.9
XP_035668395.1	PE_Scaf717_3.7
XP_035668407.1	PE_Scaf9511_0.6
XP_035668412.1	PE_Scaf12599_0.6
XP_035668420.1	PE_Scaf1425_1.4
XP_035668443.1	PE_Scaf9736_1.5
XP_035668459.1	PE_Scaf9690_12.9
XP_035668488.1	PE_Scaf2308_11.1
XP_035668539.1	PE_Scaf1971_0.12
XP_035668580.1	PE_Scaf6220_4.4
XP_035668586.1	PE_Scaf2339_5.7
XP_035668589.1	PE_Scaf11016_0.3
XP_035668596.1	PE_Scaf4282_2.8
XP_035668605.1	PE_Scaf9854_3.6
XP_035668627.1	PE_Scaf5178_1.5
XP_035668636.1	PE_Scaf10099_1.4
XP_035668676.1	PE_Scaf3472_5.14
XP_035668677.1	PE_Scaf6310_1.10
XP_035668724.1	PE_Scaf9690_12.7
XP_035668726.1	PE_Scaf12390_2.15
XP_035668797.1	PE_Scaf5346_9.2
XP_035668798.1	PE_Scaf5346_8.11
XP_035668806.1	PE_Scaf1975_0.5
XP_035668828.1	PE_Scaf2812_8.3
XP_035668837.1	PE_Scaf2696_4.3
XP_035668843.1	PE_Scaf3442_5.12
XP_035668862.1	PE_Scaf11059_0.7
XP_035668885.1	PE_Scaf9331_4.7
XP_035668913.1	PE_Scaf842_4.4
XP_035668928.1	PE_Scaf7430_2.6
XP_035668929.1	PE_Scaf3228_12.4
XP_035668941.1	PE_Scaf2440_5.3
XP_035668957.1	PE_Scaf3439_2.9
XP_035668964.1	PE_Scaf3472_5.8
XP_035668982.1	PE_Scaf1951_1.3
XP_035668988.1	PE_Scaf6320_1.3
XP_035669073.1	PE_Scaf8738_0.4
XP_035669084.1	PE_Scaf8446_6.7
XP_035669090.1	PE_Scaf1102_11.9
XP_035669100.1	PE_Scaf6913_9.10
XP_035669110.1	PE_Scaf819_1.4
XP_035669120.1	PE_Scaf3147_0.4
XP_035669127.1	PE_Scaf12639_2.15
XP_035669170.1	PE_Scaf2489_1.2
XP_035669225.1	PE_Scaf9368_3.2
XP_035669233.1	PE_Scaf6297_4.8
XP_035669234.1	PE_Scaf6297_5.3
XP_035669270.1	PE_Scaf3258_5.7
XP_035669298.1	PE_Scaf8817_13.2
XP_035669318.1	PE_Scaf110_8.2
XP_035669326.1	PE_Scaf110_27.5
XP_035669332.1	PE_Scaf10821_4.4
XP_035669345.1	PE_Scaf1407_2.4
XP_035669350.1	PE_Scaf7677_0.11
XP_035669356.1	PE_Scaf4857_5.4
XP_035669362.1	PE_Scaf5879_0.4
XP_035669373.1	PE_Scaf5809_1.9
XP_035669381.1	PE_Scaf5802_11.4
XP_035669393.1	PE_Scaf10602_7.5
XP_035669414.1	PE_Scaf8333_1.18
XP_035669415.1	PE_Scaf3543_4.3
XP_035669434.1	PE_Scaf2440_10.6
XP_035669437.1	PE_Scaf735_12.15
XP_035669446.1	PE_Scaf12208_4.2
XP_035669451.1	PE_Scaf3258_5.8
XP_035669485.1	PE_Scaf6157_2.9
XP_035669492.1	PE_Scaf3471_5.18
XP_035669503.1	PE_Scaf12280_4.12
XP_035669534.1	PE_Scaf8817_9.2
XP_035669559.1	PE_Scaf2919_4.3
XP_035669584.1	PE_Scaf12047_9.11
XP_035669588.1	PE_Scaf7942_1.11
XP_035669614.1	PE_Scaf1603_0.1
XP_035669619.1	PE_Scaf5790_6.6
XP_035669648.1	PE_Scaf5953_3.2
XP_035669662.1	PE_Scaf6000_0.2
XP_035669664.1	PE_Scaf12267_4.5
XP_035669667.1	PE_Scaf5953_4.2
XP_035669693.1	PE_Scaf8250_1.5
XP_035669697.1	PE_Scaf364_1.5
XP_035669699.1	PE_Scaf12435_3.2
XP_035669703.1	PE_Scaf4802_6.2
XP_035669707.1	PE_Scaf6245_17.10
XP_035669711.1	PE_Scaf4671_5.10
XP_035669713.1	PE_Scaf4783_1.3
XP_035669715.1	PE_Scaf9566_5.1
XP_035669717.1	PE_Scaf10974_2.12
XP_035669747.1	PE_Scaf8449_0.7
XP_035669795.1	PE_Scaf6973_4.8
XP_035669796.1	PE_Scaf12651_0.4
XP_035669798.1	PE_Scaf1882_3.7
XP_035669801.1	PE_Scaf1119_20.3
XP_035669805.1	PE_Scaf12039_19.8
XP_035669975.1	PE_Scaf5972_1.3
XP_035669994.1	PE_Scaf12390_2.12
XP_035669995.1	PE_Scaf11793_1.15
XP_035670027.1	PE_Scaf6597_0.2
XP_035670031.1	PE_Scaf11208_7.4
XP_035670036.1	PE_Scaf1119_5.7
XP_035670037.1	PE_Scaf6597_1.2
XP_035670056.1	PE_Scaf3627_3.3
XP_035670078.1	PE_Scaf3472_8.9
XP_035670094.1	PE_Scaf3472_8.7
XP_035670096.1	PE_Scaf3228_0.6
XP_035670105.1	PE_Scaf2696_12.1
XP_035670130.1	PE_Scaf2011_3.6
XP_035670132.1	PE_Scaf4828_0.2
XP_035670137.1	PE_Scaf11930_6.4
XP_035670200.1	PE_Scaf2440_7.7
XP_035670208.1	PE_Scaf2832_1.3
XP_035670217.1	PE_Scaf4257_4.6
XP_035670220.1	PE_Scaf918_0.4
XP_035670257.1	PE_Scaf6000_4.2
XP_035670269.1	PE_Scaf6000_5.6
XP_035670279.1	PE_Scaf9759_4.9
XP_035670286.1	PE_Scaf284_16.11
XP_035670296.1	PE_Scaf6245_17.18
XP_035670306.1	PE_Scaf9097_1.3
XP_035670311.1	PE_Scaf3627_2.4
XP_035670323.1	PE_Scaf9537_2.5
XP_035670350.1	PE_Scaf1076_4.4
XP_035670353.1	PE_Scaf8248_7.3
XP_035670357.1	PE_Scaf9537_3.2
XP_035670359.1	PE_Scaf3439_1.3
XP_035670373.1	PE_Scaf735_5.3
XP_035670383.1	PE_Scaf12423_4.6
XP_035670410.1	PE_Scaf1619_2.3
XP_035670413.1	PE_Scaf8248_9.7
XP_035670419.1	PE_Scaf4510_17.22
XP_035670438.1	PE_Scaf2206_1.3
XP_035670440.1	PE_Scaf11153_0.3
XP_035670446.1	PE_Scaf6973_4.7
XP_035670448.1	PE_Scaf7677_0.5
XP_035670485.1	PE_Scaf5910_5.19
XP_035670522.1	PE_Scaf12047_6.7
XP_035670524.1	PE_Scaf8817_14.5
XP_035670527.1	PE_Scaf10839_5.1
XP_035670559.1	PE_Scaf10839_1.8
XP_035670583.1	PE_Scaf4637_5.9
XP_035670585.1	PE_Scaf1206_4.5
XP_035670589.1	PE_Scaf1121_4.2
XP_035670596.1	PE_Scaf2852_8.3
XP_035670600.1	PE_Scaf1481_2.5
XP_035670621.1	PE_Scaf3512_9.6
XP_035670631.1	PE_Scaf493_2.11
XP_035670656.1	PE_Scaf6997_14.8
XP_035670683.1	PE_Scaf6320_1.2
XP_035670699.1	PE_Scaf444_7.4
XP_035670746.1	PE_Scaf1102_12.12
XP_035670757.1	PE_Scaf1407_1.4
XP_035670765.1	PE_Scaf11731_1.11
XP_035670766.1	PE_Scaf2075_1.15
XP_035670786.1	PE_Scaf7701_3.10
XP_035670804.1	PE_Scaf3627_4.10
XP_035670816.1	PE_Scaf81_4.12
XP_035670834.1	PE_Scaf5574_1.5
XP_035670860.1	PE_Scaf6924_3.5
XP_035670869.1	PE_Scaf4802_6.1
XP_035670870.1	PE_Scaf11797_3.4
XP_035670892.1	PE_Scaf3472_2.2
XP_035670893.1	PE_Scaf1622_0.2
XP_035670913.1	PE_Scaf4508_2.7
XP_035670924.1	PE_Scaf3472_3.5
XP_035670930.1	PE_Scaf5907_5.8
XP_035670954.1	PE_Scaf4671_12.10
XP_035670957.1	PE_Scaf7812_1.5
XP_035670991.1	PE_Scaf9792_6.7
XP_035671006.1	PE_Scaf12253_7.3
XP_035671007.1	PE_Scaf3803_0.11
XP_035671015.1	PE_Scaf9331_4.8
XP_035671021.1	PE_Scaf10317_6.4
XP_035671065.1	PE_Scaf9149_0.8
XP_035671069.1	PE_Scaf3462_1.28
XP_035671070.1	PE_Scaf7279_1.5
XP_035671090.1	PE_Scaf2308_14.4
XP_035671091.1	PE_Scaf10326_6.12
XP_035671092.1	PE_Scaf2696_9.5
XP_035671126.1	PE_Scaf1923_0.3
XP_035671148.1	PE_Scaf12326_12.21
XP_035671155.1	PE_Scaf9129_0.5
XP_035671160.1	PE_Scaf12577_1.3
XP_035671164.1	PE_Scaf5317_5.6
XP_035671165.1	PE_Scaf2625_0.8
XP_035671198.1	PE_Scaf2147_0.2
XP_035671199.1	PE_Scaf12536_1.20
XP_035671206.1	PE_Scaf12536_1.14
XP_035671211.1	PE_Scaf1407_0.2
XP_035671215.1	PE_Scaf4671_1.4
XP_035671242.1	PE_Scaf1994_4.15
XP_035671273.1	PE_Scaf1253_1.3
XP_035671276.1	PE_Scaf2812_6.4
XP_035671277.1	PE_Scaf4383_0.10
XP_035671279.1	PE_Scaf10790_4.11
XP_035671291.1	PE_Scaf6973_4.27
XP_035671304.1	PE_Scaf2852_7.14
XP_035671305.1	PE_Scaf2852_7.15
XP_035671306.1	PE_Scaf7206_1.6
XP_035671312.1	PE_Scaf7942_1.12
XP_035671356.1	PE_Scaf10320_4.12
XP_035671376.1	PE_Scaf3228_0.4
XP_035671378.1	PE_Scaf5802_8.15
XP_035671409.1	PE_Scaf1964_2.9
XP_035671419.1	PE_Scaf6759_2.3
XP_035671424.1	PE_Scaf9046_6.2
XP_035671447.1	PE_Scaf9104_6.1
XP_035671456.1	PE_Scaf9759_4.8
XP_035671457.1	PE_Scaf12280_1.11
XP_035671519.1	PE_Scaf390_0.14
XP_035671536.1	PE_Scaf3228_4.21
XP_035671546.1	PE_Scaf1407_1.8
XP_035671551.1	PE_Scaf7205_1.0
XP_035671560.1	PE_Scaf1339_2.8
XP_035671606.1	PE_Scaf11819_7.4
XP_035671618.1	PE_Scaf8796_1.4
XP_035671642.1	PE_Scaf12047_0.1
XP_035671643.1	PE_Scaf2997_4.6
XP_035671646.1	PE_Scaf1904_3.4
XP_035671647.1	PE_Scaf8175_0.5
XP_035671654.1	PE_Scaf12267_5.9
XP_035671670.1	PE_Scaf9708_6.7
XP_035671671.1	PE_Scaf3228_2.6
XP_035671672.1	PE_Scaf12536_1.21
XP_035671677.1	PE_Scaf2086_1.11
XP_035671682.1	PE_Scaf20_11.11
XP_035671698.1	PE_Scaf493_2.21
XP_035671720.1	PE_Scaf4270_0.13
XP_035671741.1	PE_Scaf8700_6.3
XP_035671744.1	PE_Scaf7756_6.6
XP_035671748.1	PE_Scaf2279_4.29
XP_035671751.1	PE_Scaf9175_5.2
XP_035671754.1	PE_Scaf7621_1.4
XP_035671774.1	PE_Scaf2225_0.5
XP_035671775.1	PE_Scaf4857_13.5
XP_035671782.1	PE_Scaf8947_0.3
XP_035671784.1	PE_Scaf5819_2.3
XP_035671796.1	PE_Scaf4435_2.2
XP_035671841.1	PE_Scaf11212_0.4
XP_035671842.1	PE_Scaf1282_0.7
XP_035671870.1	PE_Scaf8562_0.3
XP_035671872.1	PE_Scaf1975_0.4
XP_035671901.1	PE_Scaf10274_2.12
XP_035671904.1	PE_Scaf3141_15.4
XP_035671906.1	PE_Scaf3706_4.8
XP_035671907.1	PE_Scaf7867_1.5
XP_035671909.1	PE_Scaf4760_6.4
XP_035671923.1	PE_Scaf148_4.9
XP_035671953.1	PE_Scaf8534_1.22
XP_035671968.1	PE_Scaf810_4.4
XP_035671978.1	PE_Scaf271_2.17
XP_035671979.1	PE_Scaf4816_4.9
XP_035672008.1	PE_Scaf3111_6.7
XP_035672020.1	PE_Scaf9228_1.20
XP_035672043.1	PE_Scaf6371_4.1
XP_035672045.1	PE_Scaf5650_1.12
XP_035672048.1	PE_Scaf20_3.3
XP_035672049.1	PE_Scaf11756_4.7
XP_035672051.1	PE_Scaf12157_3.5
XP_035672070.1	PE_Scaf1394_0.6
XP_035672081.1	PE_Scaf7291_1.9
XP_035672096.1	PE_Scaf8096_4.23
XP_035672097.1	PE_Scaf12158_1.5
XP_035672115.1	PE_Scaf3111_9.3
XP_035672116.1	PE_Scaf1580_1.5
XP_035672142.1	PE_Scaf12500_23.12
XP_035672153.1	PE_Scaf10993_0.5
XP_035672174.1	PE_Scaf11033_2.3
XP_035672180.1	PE_Scaf8243_1.4
XP_035672197.1	PE_Scaf2488_7.13
XP_035672223.1	PE_Scaf4542_3.5
XP_035672226.1	PE_Scaf11197_5.13
XP_035672289.1	PE_Scaf8469_8.9
XP_035672290.1	PE_Scaf3364_1.8
XP_035672307.1	PE_Scaf1137_15.5
XP_035672309.1	PE_Scaf12167_9.1
XP_035672310.1	PE_Scaf3629_2.5
XP_035672311.1	PE_Scaf2644_1.3
XP_035672349.1	PE_Scaf503_1.10
XP_035672358.1	PE_Scaf11722_1.6
XP_035672359.1	PE_Scaf3341_2.5
XP_035672360.1	PE_Scaf2279_4.19
XP_035672366.1	PE_Scaf686_6.6
XP_035672367.1	PE_Scaf11769_4.2
XP_035672368.1	PE_Scaf4879_1.4
XP_035672383.1	PE_Scaf12537_5.5
XP_035672387.1	PE_Scaf4632_0.6
XP_035672394.1	PE_Scaf4041_2.4
XP_035672395.1	PE_Scaf7080_1.4
XP_035672397.1	PE_Scaf8605_10.9
XP_035672404.1	PE_Scaf8605_10.11
XP_035672423.1	PE_Scaf9422_3.19
XP_035672438.1	PE_Scaf11728_5.15
XP_035672476.1	PE_Scaf5342_2.25
XP_035672485.1	PE_Scaf4752_6.5
XP_035672486.1	PE_Scaf12167_13.6
XP_035672488.1	PE_Scaf6813_15.5
XP_035672500.1	PE_Scaf5423_0.8
XP_035672505.1	PE_Scaf6592_3.14
XP_035672512.1	PE_Scaf6199_3.17
XP_035672516.1	PE_Scaf3149_4.3
XP_035672517.1	PE_Scaf192_3.12
XP_035672531.1	PE_Scaf4702_3.21
XP_035672589.1	PE_Scaf9470_4.4
XP_035672599.1	PE_Scaf2525_1.3
XP_035672610.1	PE_Scaf9435_0.7
XP_035672616.1	PE_Scaf1253_1.6
XP_035672620.1	PE_Scaf4112_2.3
XP_035672627.1	PE_Scaf8043_0.9
XP_035672636.1	PE_Scaf9830_1.15
XP_035672637.1	PE_Scaf10532_4.3
XP_035672645.1	PE_Scaf8099_11.6
XP_035672647.1	PE_Scaf8099_12.2
XP_035672648.1	PE_Scaf861_1.2
XP_035672654.1	PE_Scaf2554_2.6
XP_035672657.1	PE_Scaf861_1.31
XP_035672694.1	PE_Scaf20_10.4
XP_035672712.1	PE_Scaf11629_8.28
XP_035672726.1	PE_Scaf10115_1.6
XP_035672727.1	PE_Scaf9368_2.3
XP_035672731.1	PE_Scaf9210_0.6
XP_035672737.1	PE_Scaf12378_8.12
XP_035672739.1	PE_Scaf5805_0.18
XP_035672779.1	PE_Scaf11497_2.5
XP_035672780.1	PE_Scaf2279_4.14
XP_035672844.1	PE_Scaf4816_8.6
XP_035672846.1	PE_Scaf2279_4.28
XP_035672896.1	PE_Scaf2633_2.3
XP_035672946.1	PE_Scaf6213_7.3
XP_035672947.1	PE_Scaf12335_0.8
XP_035672948.1	PE_Scaf7080_3.5
XP_035672969.1	PE_Scaf12157_4.3
XP_035672995.1	PE_Scaf3460_14.5
XP_035672998.1	PE_Scaf6625_9.8
XP_035673001.1	PE_Scaf3443_5.4
XP_035673011.1	PE_Scaf3836_4.5
XP_035673019.1	PE_Scaf10160_4.3
XP_035673029.1	PE_Scaf247_5.10
XP_035673033.1	PE_Scaf6681_2.7
XP_035673034.1	PE_Scaf6199_4.13
XP_035673078.1	PE_Scaf12101_14.2
XP_035673080.1	PE_Scaf3991_1.12
XP_035673117.1	PE_Scaf2832_2.7
XP_035673152.1	PE_Scaf2024_1.14
XP_035673179.1	PE_Scaf12379_6.4
XP_035673208.1	PE_Scaf5119_0.6
XP_035673213.1	PE_Scaf3065_3.6
XP_035673235.1	PE_Scaf12611_0.9
XP_035673236.1	PE_Scaf2706_1.4
XP_035673244.1	PE_Scaf10160_1.5
XP_035673249.1	PE_Scaf3359_6.5
XP_035673265.1	PE_Scaf3315_3.12
XP_035673268.1	PE_Scaf3315_3.17
XP_035673307.1	PE_Scaf3315_3.10
XP_035673308.1	PE_Scaf710_3.6
XP_035673341.1	PE_Scaf5757_4.2
XP_035673382.1	PE_Scaf6123_4.11
XP_035673386.1	PE_Scaf3364_1.9
XP_035673389.1	PE_Scaf419_1.5
XP_035673426.1	PE_Scaf3600_4.15
XP_035673439.1	PE_Scaf7478_8.5
XP_035673476.1	PE_Scaf6625_8.5
XP_035673486.1	PE_Scaf3600_4.13
XP_035673489.1	PE_Scaf11195_1.8
XP_035673496.1	PE_Scaf9628_4.4
XP_035673501.1	PE_Scaf6972_3.9
XP_035673513.1	PE_Scaf10003_0.9
XP_035673517.1	PE_Scaf8196_2.5
XP_035673524.1	PE_Scaf2308_15.4
XP_035673525.1	PE_Scaf10003_0.10
XP_035673526.1	PE_Scaf10410_3.5
XP_035673535.1	PE_Scaf4360_17.1
XP_035673576.1	PE_Scaf11524_3.3
XP_035673584.1	PE_Scaf5241_1.5
XP_035673586.1	PE_Scaf3111_0.5
XP_035673589.1	PE_Scaf10076_1.3
XP_035673609.1	PE_Scaf10419_4.3
XP_035673611.1	PE_Scaf5114_0.1
XP_035673627.1	PE_Scaf3141_15.6
XP_035673672.1	PE_Scaf9829_19.13
XP_035673673.1	PE_Scaf471_4.10
XP_035673677.1	PE_Scaf12453_1.7
XP_035673686.1	PE_Scaf11082_4.7
XP_035673692.1	PE_Scaf4910_0.1
XP_035673693.1	PE_Scaf11846_1.6
XP_035673727.1	PE_Scaf7230_2.2
XP_035673739.1	PE_Scaf3600_2.4
XP_035673743.1	PE_Scaf3011_2.15
XP_035673745.1	PE_Scaf8070_2.30
XP_035673759.1	PE_Scaf11524_5.3
XP_035673762.1	PE_Scaf4360_10.8
XP_035673778.1	PE_Scaf9185_2.5
XP_035673787.1	PE_Scaf6123_2.3
XP_035673813.1	PE_Scaf6787_2.5
XP_035673818.1	PE_Scaf6213_3.3
XP_035673824.1	PE_Scaf2177_3.10
XP_035673859.1	PE_Scaf2206_5.4
XP_035673878.1	PE_Scaf949_0.8
XP_035673880.1	PE_Scaf11769_3.7
XP_035673882.1	PE_Scaf20_8.4
XP_035673890.1	PE_Scaf4643_3.21
XP_035673896.1	PE_Scaf5291_0.4
XP_035673916.1	PE_Scaf5770_4.4
XP_035673922.1	PE_Scaf8469_7.10
XP_035673932.1	PE_Scaf8439_28.2
XP_035673981.1	PE_Scaf891_2.4
XP_035673986.1	PE_Scaf9175_6.3
XP_035673992.1	PE_Scaf6199_4.11
XP_035673994.1	PE_Scaf12157_5.17
XP_035674046.1	PE_Scaf7369_6.2
XP_035674077.1	PE_Scaf2919_5.6
XP_035674085.1	PE_Scaf9245_2.5
XP_035674088.1	PE_Scaf9089_1.0
XP_035674117.1	PE_Scaf735_14.15
XP_035674123.1	PE_Scaf11621_1.6
XP_035674128.1	PE_Scaf7369_4.1
XP_035674130.1	PE_Scaf11044_1.7
XP_035674149.1	PE_Scaf118_1.4
XP_035674151.1	PE_Scaf11599_4.8
XP_035674157.1	PE_Scaf248_18.2
XP_035674158.1	PE_Scaf2491_2.5
XP_035674174.1	PE_Scaf511_1.5
XP_035674184.1	PE_Scaf8928_10.3
XP_035674185.1	PE_Scaf8196_4.8
XP_035674194.1	PE_Scaf11819_4.5
XP_035674208.1	PE_Scaf10160_5.4
XP_035674209.1	PE_Scaf735_3.5
XP_035674214.1	PE_Scaf2339_2.4
XP_035674223.1	PE_Scaf2232_15.10
XP_035674231.1	PE_Scaf7369_5.1
XP_035674239.1	PE_Scaf12256_2.6
XP_035674290.1	PE_Scaf812_6.8
XP_035674294.1	PE_Scaf9706_3.5
XP_035674332.1	PE_Scaf2279_4.25
XP_035674333.1	PE_Scaf4590_1.7
XP_035674347.1	PE_Scaf12157_5.13
XP_035674348.1	PE_Scaf3620_2.12
XP_035674350.1	PE_Scaf12157_5.14
XP_035674369.1	PE_Scaf7578_5.10
XP_035674372.1	PE_Scaf6083_0.5
XP_035674375.1	PE_Scaf3568_3.11
XP_035674409.1	PE_Scaf1573_0.3
XP_035674414.1	PE_Scaf3543_3.7
XP_035674430.1	PE_Scaf7540_2.9
XP_035674442.1	PE_Scaf2137_21.3
XP_035674454.1	PE_Scaf1119_0.12
XP_035674481.1	PE_Scaf8469_10.8
XP_035674487.1	PE_Scaf6220_5.8
XP_035674502.1	PE_Scaf686_8.6
XP_035674505.1	PE_Scaf3992_22.7
XP_035674516.1	PE_Scaf311_11.3
XP_035674518.1	PE_Scaf4594_1.6
XP_035674525.1	PE_Scaf3591_5.15
XP_035674559.1	PE_Scaf10274_2.11
XP_035674575.1	PE_Scaf2633_1.5
XP_035674582.1	PE_Scaf686_9.2
XP_035674584.1	PE_Scaf3970_0.5
XP_035674610.1	PE_Scaf10345_1.6
XP_035674663.1	PE_Scaf2919_13.9
XP_035674708.1	PE_Scaf9490_4.1
XP_035674721.1	PE_Scaf7902_17.4
XP_035674724.1	PE_Scaf3853_17.5
XP_035674734.1	PE_Scaf10641_2.4
XP_035674738.1	PE_Scaf8196_3.14
XP_035674768.1	PE_Scaf9628_5.10
XP_035674780.1	PE_Scaf7902_10.2
XP_035674782.1	PE_Scaf570_0.3
XP_035674783.1	PE_Scaf1869_0.7
XP_035674805.1	PE_Scaf4579_1.2
XP_035674808.1	PE_Scaf9296_0.6
XP_035674832.1	PE_Scaf11710_4.6
XP_035674838.1	PE_Scaf11599_5.2
XP_035674846.1	PE_Scaf10771_1.12
XP_035674859.1	PE_Scaf6371_1.1
XP_035674864.1	PE_Scaf11136_4.10
XP_035674868.1	PE_Scaf12358_11.9
XP_035674869.1	PE_Scaf4816_5.0
XP_035674870.1	PE_Scaf8469_7.16
XP_035674919.1	PE_Scaf4297_0.5
XP_035674921.1	PE_Scaf3896_10.24
XP_035674932.1	PE_Scaf7027_1.13
XP_035674933.1	PE_Scaf8469_4.18
XP_035674942.1	PE_Scaf4643_3.23
XP_035674943.1	PE_Scaf3359_2.2
XP_035674944.1	PE_Scaf3331_15.2
XP_035674964.1	PE_Scaf2491_0.5
XP_035674981.1	PE_Scaf2554_2.5
XP_035674993.1	PE_Scaf4816_4.15
XP_035674996.1	PE_Scaf1608_0.6
XP_035675023.1	PE_Scaf4816_7.8
XP_035675029.1	PE_Scaf4816_7.9
XP_035675031.1	PE_Scaf8469_4.10
XP_035675032.1	PE_Scaf485_10.3
XP_035675061.1	PE_Scaf4083_0.17
XP_035675086.1	PE_Scaf3941_2.4
XP_035675159.1	PE_Scaf735_11.14
XP_035675164.1	PE_Scaf6517_0.0
XP_035675172.1	PE_Scaf10353_1.3
XP_035675183.1	PE_Scaf4360_16.4
XP_035675195.1	PE_Scaf3877_2.4
XP_035675197.1	PE_Scaf7578_5.8
XP_035675200.1	PE_Scaf508_0.3
